Country,2022-01-31,2022-02-17,2022-02-28,2022-03-04,2022-03-31,2022-04-10,2022-04-12,2022-04-30,2022-05-06,2022-05-08,2022-05-12,2022-05-13,2022-05-15,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-12,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28,2022-07-29,2022-07-30,2022-07-31,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05
Nigeria,3,0,1,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,3,15,0,0,1,0,0,0,24,0,0,0,0,0,0,17,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0
Cameroon,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Congo,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,0,0,0,0,0,0,0,0,1,0,1,1,4,0,2,0,11,0,36,14,7,24,0,0,0,71,11,5,11,15,0,0,73,18,0,43,0,0,104,0,52,0,46,0,0,0,216,0,0,0,107,0,162,0,0,0,150,0,0,0,100,0,0,197,0,0,0,178,0,0,0,118,0,0,0,272,0,65,0,0,0,210,0,0,34,0,0,0,192,0,0,0,0
Democratic Republic Of The Congo,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,9,0,0,14,2,10,9,16,0,0,22,4,19,19,5,0,0,10,13,25,18,0,0,0,0,22,10,0,35,0,0,21,7,13,11,20,0,0,17,8,18,11,18,0,0,0,13,0,40,0,0,0,0,0,42,0,0,0,0,0,0,73,0,0,0,0,0,0,45,0,0,0,0,0,0,77,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,23,10,1,4,8,25,21,0,9,8,20,0,26,19,0,0,17,27,34,0,16,0,0,0,38,0,184,1,0,0,23,0,0,215,0,0,0,64,0,0,396,0,0,0,62,0,0,0,776,0,0,0,413,0,0,388,0,0,0,290,0,0,1,0,0,0,612,0,0,561,1,0,0,277,0,0,365
United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,5,4,1,1,0,4,1,4,5,1,0,2,6,5,5,3,2,2,18,8,13,21,11,4,1,4,38,21,22,19,6,9,63,44,50,61,73,4,6,10,146,40,134,67,10,4,94,64,123,181,341,0,0,228,119,209,180,372,0,0,582,192,981,265,280,0,0,617,516,291,485,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,10,0,0,11,0,0,0,0,1,27,23,3,0,0,1,20,1,11,3,0,0,8,34,0,9,10,0,0,0,33,0,25,0,0,0,22,18,12,0,0,25,0,36,0,21,0,5,3,0,99,0,16,37,8,0,0,35,40,0,0,68,0,0,34,30,0,54,4,0,0,0,88,2,0,0
